Year,Highest certificate obtained,State,Labour Force ('000),Employed persons ('000)
1982,Total,Malaysia,"5,431.40","5,249.00"
1982,UPSR/UPSRA or equivalent,Malaysia,-,-
1982,PT3/PMR/SRP/LCE/SRA or equivalent,Malaysia,502.4,469.2
1982,SPM or equivalent,Malaysia,671,619.7
1982,STPM or equivalent,Malaysia,52.9,49.8
1982,Certificate,Malaysia,-,-
1982,Diploma,Malaysia,138,137
1982,Degree,Malaysia,93.8,91.1
1982,Religious certificate,Malaysia,7.9,7.9
1982,No certificate,Malaysia,"3,135.40","3,052.00"
1982,Not applicable,Malaysia,829.5,821.8
1982,Total,Johor,653.1,630.2
1982,UPSR/UPSRA or equivalent,Johor,-,-
1982,PT3/PMR/SRP/LCE/SRA or equivalent,Johor,55.5,51.7
1982,SPM or equivalent,Johor,76.6,68.3
1982,STPM or equivalent,Johor,4,3.4
1982,Certificate,Johor,-,-
1982,Diploma,Johor,17.9,17.9
1982,Degree,Johor,7.8,7.4
1982,Religious certificate,Johor,1.4,1.4
1982,No certificate,Johor,419.7,410.8
1982,Not applicable,Johor,70.2,69.2
1982,Total,Kedah,403.9,389
1982,UPSR/UPSRA or equivalent,Kedah,-,-
1982,PT3/PMR/SRP/LCE/SRA or equivalent,Kedah,28.1,25.4
1982,SPM or equivalent,Kedah,36.9,31.8
1982,STPM or equivalent,Kedah,2.3,1.8
1982,Certificate,Kedah,-,-
1982,Diploma,Kedah,9.8,9.7
1982,Degree,Kedah,3.5,3.3
1982,Religious certificate,Kedah,1.8,1.8
1982,No certificate,Kedah,245.1,239.6
1982,Not applicable,Kedah,76.2,75.6
1982,Total,Kelantan,319.4,304.3
1982,UPSR/UPSRA or equivalent,Kelantan,-,-
1982,PT3/PMR/SRP/LCE/SRA or equivalent,Kelantan,25,22.5
1982,SPM or equivalent,Kelantan,32,25.8
1982,STPM or equivalent,Kelantan,1.7,1.7
1982,Certificate,Kelantan,-,-
1982,Diploma,Kelantan,7.5,7.4
1982,Degree,Kelantan,3.2,3.1
1982,Religious certificate,Kelantan,0.7,0.7
1982,No certificate,Kelantan,149.8,144.9
1982,Not applicable,Kelantan,99.7,98.2
1982,Total,Melaka,174.1,167.2
1982,UPSR/UPSRA or equivalent,Melaka,-,-
1982,PT3/PMR/SRP/LCE/SRA or equivalent,Melaka,13.4,12.3
1982,SPM or equivalent,Melaka,24.5,21.5
1982,STPM or equivalent,Melaka,2,1.8
1982,Certificate,Melaka,-,-
1982,Diploma,Melaka,5.6,5.6
1982,Degree,Melaka,2.9,2.8
1982,Religious certificate,Melaka,0.2,0.2
1982,No certificate,Melaka,108,105.7
1982,Not applicable,Melaka,17.3,17.1
1982,Total,Negeri Sembilan,222.8,216.3
