index_x,Year,State,Employed persons ('000) (D7)_15–19,Employed persons ('000) (D7)_20–24,Employed persons ('000) (D7)_25–29,Employed persons ('000) (D7)_30–34,Employed persons ('000) (D7)_35–39,Employed persons ('000) (D7)_40–44,Employed persons ('000) (D7)_45–49,Employed persons ('000) (D7)_50–54,Employed persons ('000) (D7)_55–59,Employed persons ('000) (D7)_60–64,Labour force ('000) (D7)_15–19,Labour force ('000) (D7)_20–24,Labour force ('000) (D7)_25–29,Labour force ('000) (D7)_30–34,Labour force ('000) (D7)_35–39,Labour force ('000) (D7)_40–44,Labour force ('000) (D7)_45–49,Labour force ('000) (D7)_50–54,Labour force ('000) (D7)_55–59,Labour force ('000) (D7)_60–64,index_y,national_Employed persons ('000) (D7)_15–19,national_Employed persons ('000) (D7)_20–24,national_Employed persons ('000) (D7)_25–29,national_Employed persons ('000) (D7)_30–34,national_Employed persons ('000) (D7)_35–39,national_Employed persons ('000) (D7)_40–44,national_Employed persons ('000) (D7)_45–49,national_Employed persons ('000) (D7)_50–54,national_Employed persons ('000) (D7)_55–59,national_Employed persons ('000) (D7)_60–64,national_Labour force ('000) (D7)_15–19,national_Labour force ('000) (D7)_20–24,national_Labour force ('000) (D7)_25–29,national_Labour force ('000) (D7)_30–34,national_Labour force ('000) (D7)_35–39,national_Labour force ('000) (D7)_40–44,national_Labour force ('000) (D7)_45–49,national_Labour force ('000) (D7)_50–54,national_Labour force ('000) (D7)_55–59,national_Labour force ('000) (D7)_60–64,Female_Unemployment Rate (%) (D6),Male_Unemployment Rate (%) (D6),national_Female_Unemployment Rate (%) (D6),national_Male_Unemployment Rate (%) (D6),index_x_,Employed persons ('000) (D3)_Certificate,Employed persons ('000) (D3)_Degree,Employed persons ('000) (D3)_Diploma,Employed persons ('000) (D3)_No certificate,Employed persons ('000) (D3)_Not applicable,Employed persons ('000) (D3)_PT3/PMR/SRP/LCE/SRA or equivalent,Employed persons ('000) (D3)_Religious certificate,Employed persons ('000) (D3)_SPM or equivalent,Employed persons ('000) (D3)_STPM or equivalent,Employed persons ('000) (D3)_UPSR/UPSRA or equivalent,Labour Force ('000) (D3)_Certificate,Labour Force ('000) (D3)_Degree,Labour Force ('000) (D3)_Diploma,Labour Force ('000) (D3)_No certificate,Labour Force ('000) (D3)_Not applicable,Labour Force ('000) (D3)_PT3/PMR/SRP/LCE/SRA or equivalent,Labour Force ('000) (D3)_Religious certificate,Labour Force ('000) (D3)_SPM or equivalent,Labour Force ('000) (D3)_STPM or equivalent,Labour Force ('000) (D3)_UPSR/UPSRA or equivalent,index_y_,national_Employed persons ('000) (D3)_Certificate,national_Employed persons ('000) (D3)_Degree,national_Employed persons ('000) (D3)_Diploma,national_Employed persons ('000) (D3)_No certificate,national_Employed persons ('000) (D3)_Not applicable,national_Employed persons ('000) (D3)_PT3/PMR/SRP/LCE/SRA or equivalent,national_Employed persons ('000) (D3)_Religious certificate,national_Employed persons ('000) (D3)_SPM or equivalent,national_Employed persons ('000) (D3)_STPM or equivalent,national_Employed persons ('000) (D3)_UPSR/UPSRA or equivalent,national_Labour Force ('000) (D3)_Certificate,national_Labour Force ('000) (D3)_Degree,national_Labour Force ('000) (D3)_Diploma,national_Labour Force ('000) (D3)_No certificate,national_Labour Force ('000) (D3)_Not applicable,national_Labour Force ('000) (D3)_PT3/PMR/SRP/LCE/SRA or equivalent,national_Labour Force ('000) (D3)_Religious certificate,national_Labour Force ('000) (D3)_SPM or equivalent,national_Labour Force ('000) (D3)_STPM or equivalent,national_Labour Force ('000) (D3)_UPSR/UPSRA or equivalent,Price type (D2),National GDP (RM Million) (D2),national_gdp_growth (%) (D2),national_lf ('000) (D1),national_lf_employed ('000) (D1),national_lf_unemployed ('000) (D1),national_lf_outside ('000) (D1),national_p_rate (%) (D1),national_ep_ratio (%) (D1),national_u_rate (%) (D1),national_CPI (D4),national_Inflation Rate (%) (D4),national_IPI (D5),national_Industrial Production Rate (%) (D5)
0,1982,Johor,76.3,121.9,105.7,87.7,65.5,55.9,45.4,38.1,20.4,13.4,86.1,130.9,107.6,88.3,65.8,56.3,45.5,38.3,20.7,13.5,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,4.7,2.9,4.6,2.7,0.0,-,7.4,17.9,410.8,69.2,51.7,1.4,68.3,3.4,-,-,7.8,17.9,419.7,70.2,55.5,1.4,76.6,4,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
1,1982,Kedah,36.3,59.3,54.9,50.5,42.8,42.9,39.3,29.6,17.4,15.9,43.2,64.0,56.1,50.9,43.3,43.4,39.4,29.8,17.7,16.1,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,6.5,2.2,4.6,2.7,1.0,-,3.3,9.7,239.6,75.6,25.4,1.8,31.8,1.8,-,-,3.5,9.8,245.1,76.2,28.1,1.8,36.9,2.3,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
2,1982,Kelantan,21.9,45.1,43.6,38.3,35.5,35.6,24.5,24.7,20.9,14.1,27.6,51.0,44.5,38.7,36.2,36.0,25.0,24.9,21.1,14.5,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,6.0,3.9,4.6,2.7,2.0,-,3.1,7.4,144.9,98.2,22.5,0.7,25.8,1.7,-,-,3.2,7.5,149.8,99.7,25,0.7,32,1.7,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
4,1982,Melaka,18.6,31.7,27.6,21.0,19.5,13.7,14.2,10.6,6.3,4.1,21.9,33.8,28.0,21.3,19.6,13.9,14.3,10.8,6.3,4.1,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,5.7,3.0,4.6,2.7,4.0,-,2.8,5.6,105.7,17.1,12.3,0.2,21.5,1.8,-,-,2.9,5.6,108,17.3,13.4,0.2,24.5,2,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
5,1982,Negeri Sembilan,24.8,38.5,34.4,29.0,22.5,23.9,18.3,13.7,7.1,4.2,28.0,41.0,34.6,29.1,22.6,23.9,18.5,13.8,7.1,4.2,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,3.9,2.4,4.6,2.7,5.0,-,3.4,7.4,145.7,20.3,15.7,0.3,22,1.5,-,-,3.4,7.4,148.6,20.4,17,0.3,23.9,1.8,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
6,1982,Pahang,32.2,51.6,42.9,39.0,31.1,28.4,18.2,11.4,9.8,5.7,36.2,54.9,43.7,39.4,31.4,28.6,18.4,11.5,9.9,5.7,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,5.7,2.3,4.6,2.7,6.0,-,3,7.6,172.5,30.1,23.8,0.4,31.2,1.7,-,-,3,7.7,176.3,30.4,25.3,0.4,34.6,1.8,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
7,1982,Perak,66.2,99.6,83.2,76.7,65.4,64.2,55.3,46.2,27.5,19.7,79.8,109.9,86.5,77.8,66.9,65.5,56.4,47.1,28.6,20.1,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,6.2,5.0,4.6,2.7,7.0,-,4.6,17.5,402.7,72.3,55.9,1.1,47,3,-,-,5.1,17.7,422.8,74,61.9,1.1,52.8,3.1,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
8,1982,Perlis,5.0,8.8,7.0,6.9,5.4,7.3,4.9,5.6,2.9,1.9,6.2,9.9,7.1,6.9,5.4,7.3,4.9,5.6,2.9,1.9,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,7.4,2.6,4.6,2.7,8.0,-,0.6,1.8,35,9.6,3.9,0.1,4.3,0.4,-,-,0.6,1.8,35.7,9.6,4,0.1,5.8,0.6,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
9,1982,Pulau Pinang,47.6,76.4,63.4,51.6,38.3,37.0,24.9,22.6,13.4,7.0,52.8,81.1,64.9,52.2,38.8,37.2,25.2,22.8,13.7,7.3,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,4.2,3.1,4.6,2.7,9.0,-,6.6,9.2,243.1,28,40.3,0.1,50.8,4,-,-,6.9,9.4,249.9,28.5,42.7,0.1,54.2,4.2,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
10,1982,Sabah,36.5,72.0,58.9,47.6,31.6,33.7,24.1,18.4,12.4,8.4,42.2,75.3,59.7,48.0,31.8,33.8,24.1,18.5,12.4,8.5,3,582.9,999.8,856.1,712.9,550.3,507.4,390.3,314.0,196.4,138.9,662.6,1062.3,871.9,718.4,555.3,511.6,393.2,316.5,199.1,140.5,5.1,2.4,4.6,2.7,10.0,-,4.3,2.8,175.6,90.5,41.1,0.3,26.1,2.8,-,-,4.4,2.8,182,91.4,43.4,0.3,27.1,2.9,-,3.0,-,91.1,137,"3,052.00",821.8,469.2,7.9,619.7,49.8,-,-,93.8,138,"3,135.40",829.5,502.4,7.9,671,52.9,-,Current Prices,62599.0,8.654296773297698,5431.4,5249.0,182.4,2944.6,64.8,62.7,3.4,116.0,5.742935278030991,105.5,5.5
